method,baseline_cutoff_ps,protmutmap_cutoff_ps,n,baseline_rmse,protmutmap_rmse,delta_rmse,pct95_lo,pct95_hi,bca95_lo,bca95_hi,pm_over_baseline_cost_elapsed,pm_over_baseline_cost_nominal,nboot,seed,resampling_unit
Additive,1000,1000,11,1.8351452319833816,1.0970568516797967,0.7380883803035849,-0.0358924997269131,1.3687561762212048,0.05321856205709835,1.4367052146128108,2.3928571428571432,2.392857142857143,20000,20260914,paired_network_node
Additive,1000,2000,11,1.8351452319833816,1.3336628903957375,0.5014823415876442,-0.3219626686991174,1.2142246381286774,-0.20275458031795343,1.3486732108427795,5.051587301587301,4.785714285714286,20000,20260914,paired_network_node
Additive,1000,4000,11,1.8351452319833816,1.385596947276084,0.4495482847072976,-0.371014889190613,1.1551619002569262,-0.24720954462518313,1.281184747795893,10.36904761904762,9.571428571428571,20000,20260914,paired_network_node
Additive,2000,1000,11,1.9769651851885086,1.0970568516797967,0.8799083335087119,0.20718894136620417,1.4425635080395767,0.19674548287645374,1.4320804188565421,1.1334586466165415,1.1964285714285714,20000,20260914,paired_network_node
Additive,2000,2000,11,1.9769651851885086,1.3336628903957375,0.6433022947927711,0.13336675619884222,1.1027306700938906,0.19509380846320176,1.171738884110036,2.392857142857143,2.392857142857143,20000,20260914,paired_network_node
Additive,2000,4000,11,1.9769651851885086,1.385596947276084,0.5913682379124245,0.038246545250196155,1.0773632959718402,0.06978737340609485,1.0992165297099572,4.911654135338346,4.785714285714286,20000,20260914,paired_network_node
Additive,4000,1000,11,1.9363875283906224,1.0970568516797967,0.8393306767108257,0.08946609606870752,1.4465930177367414,0.08697767526551078,1.4451131565193487,0.5521978021978022,0.5982142857142857,20000,20260914,paired_network_node
Additive,4000,2000,11,1.9363875283906224,1.3336628903957375,0.602724637994885,-0.045416574355041504,1.1929773966364148,0.037467607279253495,1.269749370821916,1.1657509157509156,1.1964285714285714,20000,20260914,paired_network_node
Additive,4000,4000,11,1.9363875283906224,1.385596947276084,0.5507905811145384,0.00842406626057594,1.0072107401614196,0.06027849570163323,1.0462065877438684,2.392857142857143,2.392857142857143,20000,20260914,paired_network_node
Stepwise,1000,1000,11,1.6476071654427145,1.0970568516797967,0.5505503137629177,-0.1398849795704603,1.1472142778333612,-0.06428931837085283,1.2112625777394022,2.09375,2.09375,20000,20260914,paired_network_node
Stepwise,1000,2000,11,1.6476071654427145,1.3336628903957375,0.313944275046977,-0.31075063295030514,0.9235068178769141,-0.21142884381385896,1.1032234618171464,4.420138888888888,4.1875,20000,20260914,paired_network_node
Stepwise,1000,4000,11,1.6476071654427145,1.385596947276084,0.2620102181666304,-0.2490366845942933,0.7455034867784892,-0.14729572684297396,0.9090519190805649,9.072916666666666,8.375,20000,20260914,paired_network_node
Stepwise,2000,1000,11,1.7116208741847583,1.0970568516797967,0.6145640225049616,-0.14746817670345555,1.2990825795819392,-0.03400356155843699,1.4035734454763251,0.9917763157894738,1.046875,20000,20260914,paired_network_node
Stepwise,2000,2000,11,1.7116208741847583,1.3336628903957375,0.3779579837890208,-0.16144804156760667,0.8006043616278777,-0.0819293428911497,0.8716523357649628,2.09375,2.09375,20000,20260914,paired_network_node
Stepwise,2000,4000,11,1.7116208741847583,1.385596947276084,0.3260239269086742,-0.30494110720656914,0.8282413190203272,-0.24555321654104348,0.877068863581251,4.297697368421053,4.1875,20000,20260914,paired_network_node
Stepwise,4000,1000,11,1.9168081350290413,1.0970568516797967,0.8197512833492446,-0.06937446694326455,1.7246035485917575,0.10077230785112216,2.0455052652315264,0.483173076923077,0.5234375,20000,20260914,paired_network_node
Stepwise,4000,2000,11,1.9168081350290413,1.3336628903957375,0.5831452446333039,-0.263609319966272,1.4894634801868796,-0.0945405522288169,1.930932743800307,1.0200320512820513,1.046875,20000,20260914,paired_network_node
Stepwise,4000,4000,11,1.9168081350290413,1.385596947276084,0.5312111877529573,-0.12878267729762005,1.1480002467758412,0.0006802315744774004,1.4003579146897542,2.09375,2.09375,20000,20260914,paired_network_node
