condition,excluded_system,method,n,d_rmse
forward,1A22,Additive,26,0.43879819126627595
forward,1A22,Stepwise,26,0.12998046046787426
forward,1AO7,Additive,18,0.4722875535756428
forward,1AO7,Stepwise,18,-0.017718609368104987
forward,1BJ1,Additive,26,0.49585665484827834
forward,1BJ1,Stepwise,26,0.16543390906607103
forward,1CHO,Additive,28,0.4609139888563045
forward,1CHO,Stepwise,28,0.1580178928125675
forward,1MLC,Additive,26,0.06845526090968068
forward,1MLC,Stepwise,26,0.1939674337271553
forward,1PPF,Additive,28,0.44250722785456675
forward,1PPF,Stepwise,28,0.06984187703230815
forward,1R0R,Additive,28,0.47250326827976186
forward,1R0R,Stepwise,28,0.1489168483430352
bidirectional,1A22,Additive,26,0.313918041930344
bidirectional,1A22,Stepwise,26,0.37438847034635625
bidirectional,1AO7,Additive,18,0.36664013955800123
bidirectional,1AO7,Stepwise,18,0.35224437258668106
bidirectional,1BJ1,Additive,26,0.38723073458415147
bidirectional,1BJ1,Stepwise,26,0.41635705237455967
bidirectional,1CHO,Additive,28,0.29273976465261553
bidirectional,1CHO,Stepwise,28,0.36596476311599546
bidirectional,1MLC,Additive,26,0.13710296909196984
bidirectional,1MLC,Stepwise,26,0.34241460235866583
bidirectional,1PPF,Additive,28,0.2775796327600444
bidirectional,1PPF,Stepwise,28,0.19109751608653003
bidirectional,1R0R,Additive,28,0.3626810333854249
bidirectional,1R0R,Stepwise,28,0.37944435146291466
