condition,scope,method,n,rmse,mae,median_abs,max_abs,spearman
forward,all30,Additive,30,1.9011960807290622,1.367480559384193,1.0966281016790633,5.4684051727768,0.6403294012908972
forward,all30,Stepwise,30,1.6067139697351287,1.2196071477523691,1.0638920140737704,5.097812456524706,0.6781660360560875
forward,all30,ProtMutMap,30,1.483058121094135,1.1387737502794444,0.6933290679649113,3.7241317658424373,0.7271918293072918
forward,all30,OLS,30,1.483058121094135,1.1387737502794444,0.6933290679649113,3.7241317658424373,0.7271918293072918
forward,target12,Additive,12,1.684219702032032,1.3883225835347588,1.2891096043209067,3.2873889766609525,0.7342657342657343
forward,target12,Stepwise,12,1.6060489463303853,1.3924108252052665,1.3297527758744558,2.6232869290784304,0.7972027972027973
forward,target12,ProtMutMap,12,1.4516514893685337,1.1944245371207578,1.0605187678587253,2.6797579066437844,0.9160839160839163
forward,target12,OLS,12,1.4516514893685337,1.1944245371207578,1.0605187678587253,2.6797579066437844,0.9160839160839163
forward,single14,Additive,14,1.7583139831534855,1.2516071545216128,0.945606835272677,5.097812456524706,0.3554083885209713
forward,single14,Stepwise,14,1.7583139831534855,1.2516071545216128,0.945606835272677,5.097812456524706,0.3554083885209713
forward,single14,ProtMutMap,14,1.4870375469760375,1.0705332928429,0.6140227438195969,3.7241317658424373,0.4317191089474679
forward,single14,OLS,14,1.4870375469760375,1.0705332928429,0.6140227438195969,3.7241317658424373,0.4317191089474679
forward,intermediate4,Additive,4,2.78899135790562,1.7105114039515257,0.6730292216853542,5.4684051727768,0.39999999999999997
forward,intermediate4,Stepwise,4,0.8957987934254732,0.5891960917013247,0.2303045310560066,1.7534419573902218,0.7999999999999999
forward,intermediate4,ProtMutMap,4,1.5603211073074226,1.2106629907834068,0.6859186810003309,2.911295539544189,0.39999999999999997
forward,intermediate4,OLS,4,1.5603211073074226,1.2106629907834068,0.6859186810003309,2.911295539544189,0.39999999999999997
bidirectional,all30,Additive,30,1.4306267966964161,1.1570053398099414,1.0259636814396762,3.2478777956948903,0.6416648119296685
bidirectional,all30,Stepwise,30,1.4717458706642792,1.1442236842324625,0.9539724214948913,4.267112963899832,0.6999777431560207
bidirectional,all30,ProtMutMap,30,1.1252322754964859,0.9242498608466394,0.8175377699166887,2.056503143411734,0.7881620132822607
bidirectional,all30,OLS,30,1.216386649190857,0.9939935516418051,0.8454084472323191,2.4043572670697793,0.7741433213464101
bidirectional,target12,Additive,12,1.4949296652772854,1.2584356034226574,1.0986922278170534,2.856434957194333,0.5524475524475525
bidirectional,target12,Stepwise,12,1.836991207782632,1.4888756854256515,1.4874412820253022,4.267112963899832,0.7342657342657343
bidirectional,target12,ProtMutMap,12,1.295882505206939,1.0602394851065486,0.9191535817634988,2.056503143411734,0.8111888111888113
bidirectional,target12,OLS,12,1.3304357551161166,1.122744810361419,0.9191535817634988,2.159652135263422,0.8811188811188813
bidirectional,single14,Additive,14,1.247246110463428,0.9994499849878057,0.870348818219683,2.877285079442796,0.3686534216335541
bidirectional,single14,Stepwise,14,1.247246110463428,0.9994499849878057,0.870348818219683,2.877285079442796,0.3686534216335541
bidirectional,single14,ProtMutMap,14,1.0009852338402876,0.8068456282617323,0.6312731580617794,1.8957988394503635,0.46696148518807756
bidirectional,single14,OLS,14,1.1192699469564036,0.8633757249254074,0.628456525532221,2.4043572670697793,0.46475883667303935
bidirectional,intermediate4,Additive,4,1.7891544408139182,1.4041582908492665,1.0427151358172657,3.2478777956948903,0.39999999999999997
bidirectional,intermediate4,Stepwise,4,0.8227874610047052,0.616975628009194,0.39514065351851,1.5348878576966927,0.7999999999999999
bidirectional,intermediate4,ProtMutMap,4,0.9753323112950917,0.927195802114086,0.8938498870744637,1.3615643727186404,0.39999999999999997
bidirectional,intermediate4,OLS,4,1.1841104076224345,1.0649021689903537,0.8938498870744637,1.9123898402237116,0.19999999999999998
