condition,scope,method,reference,n,d_rmse,bca95_lo,bca95_hi,seed,nboot,resampling_unit,difference
forward,all30,Additive,ProtMutMap,30,0.4181379596349273,0.06470036784234529,0.9008724956129436,20260914,20000,network_node,method_minus_reference
forward,all30,Stepwise,ProtMutMap,30,0.12365584864099377,-0.23231871173586857,0.4752509864990905,20260914,20000,network_node,method_minus_reference
forward,all30,OLS,ProtMutMap,30,0.0,0.0,0.0,20260914,20000,network_node,method_minus_reference
forward,all30,Additive,OLS,30,0.4181379596349273,0.06470036784234529,0.9008724956129436,20260914,20000,network_node,method_minus_reference
forward,all30,Stepwise,OLS,30,0.12365584864099377,-0.23231871173586857,0.4752509864990905,20260914,20000,network_node,method_minus_reference
forward,target12,Additive,ProtMutMap,12,0.23256821266349825,-0.3208222357631226,0.7377615833973318,20260914,20000,network_node,method_minus_reference
forward,target12,Stepwise,ProtMutMap,12,0.1543974569618516,-0.2551824952505579,0.679653204051758,20260914,20000,network_node,method_minus_reference
forward,target12,OLS,ProtMutMap,12,0.0,0.0,0.0,20260914,20000,network_node,method_minus_reference
forward,target12,Additive,OLS,12,0.23256821266349825,-0.3208222357631226,0.7377615833973318,20260914,20000,network_node,method_minus_reference
forward,target12,Stepwise,OLS,12,0.1543974569618516,-0.2551824952505579,0.679653204051758,20260914,20000,network_node,method_minus_reference
bidirectional,all30,Additive,ProtMutMap,30,0.30539452119993027,0.01996451444508592,0.6165019748072365,20260914,20000,network_node,method_minus_reference
bidirectional,all30,Stepwise,ProtMutMap,30,0.34651359516779334,0.08675210879126226,0.8238547131595477,20260914,20000,network_node,method_minus_reference
bidirectional,all30,OLS,ProtMutMap,30,0.09115437369437118,0.012966097066001487,0.24001256076071245,20260914,20000,network_node,method_minus_reference
bidirectional,all30,Additive,OLS,30,0.2142401475055591,-0.03612147139140669,0.45167330028959474,20260914,20000,network_node,method_minus_reference
bidirectional,all30,Stepwise,OLS,30,0.25535922147342216,0.017705931882733617,0.6982420503104421,20260914,20000,network_node,method_minus_reference
bidirectional,target12,Additive,ProtMutMap,12,0.1990471600703465,-0.3445821808375629,0.6107421607620747,20260914,20000,network_node,method_minus_reference
bidirectional,target12,Stepwise,ProtMutMap,12,0.5411087025756931,0.06768042716890321,1.3470316760918877,20260914,20000,network_node,method_minus_reference
bidirectional,target12,OLS,ProtMutMap,12,0.03455324990917763,-0.03236622558403551,0.13164939761470612,20260914,20000,network_node,method_minus_reference
bidirectional,target12,Additive,OLS,12,0.16449391016116888,-0.36088870921566063,0.5593416430848899,20260914,20000,network_node,method_minus_reference
bidirectional,target12,Stepwise,OLS,12,0.5065554526665155,0.05857572879582421,1.2100539512147073,20260914,20000,network_node,method_minus_reference
